publishedAt,title,description
2018-01-01,2018	Warrior Met Coal Inc HCC will begin trading ex dividend on May 03 2018 A cash dividend payment of 0 05 per share is scheduled to be paid on May 11 2018 Shareholders who purchased HCC prior to the ex dividend date are eligible for the cash dividend payment This represents an 99	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/jukCAZ-rpo4/warrior-met-coal-inc-hcc-ex-dividend-date-scheduled-for-may-03-2018-cm956912,2018	Warrior Met Coal Inc HCC will begin trading ex dividend on May 03 2018 A cash dividend payment of 0 05 per share is scheduled to be paid on May 11 2018 Shareholders who purchased HCC prior to the ex dividend date are eligible for the cash dividend payment This represents an 99	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/jukCAZ-rpo4/warrior-met-coal-inc-hcc-ex-dividend-date-scheduled-for-may-03-2018-cm956912
2018-01-01,2018	Warrior Met Coal Inc HCC will begin trading ex dividend on May 03 2018 A cash dividend payment of 0 05 per share is scheduled to be paid on May 11 2018 Shareholders who purchased HCC prior to the ex dividend date are eligible for the cash dividend payment This represents an 99	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/Fp2-B-LA3TA/warrior-met-coal-inc-hcc-ex-dividend-date-scheduled-for-may-03-2018-cm956912,2018	Warrior Met Coal Inc HCC will begin trading ex dividend on May 03 2018 A cash dividend payment of 0 05 per share is scheduled to be paid on May 11 2018 Shareholders who purchased HCC prior to the ex dividend date are eligible for the cash dividend payment This represents an 99	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/Fp2-B-LA3TA/warrior-met-coal-inc-hcc-ex-dividend-date-scheduled-for-may-03-2018-cm956912
2018-01-01,2018	Warrior Met Coal Inc HCC will begin trading ex dividend on April 12 2018 A cash dividend payment of 6 53 per share is scheduled to be paid on April 20 2018 Shareholders who purchased HCC prior to the ex dividend date are eligible for the cash dividend payment At the current stock	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/EIhRQe1k8rM/warrior-met-coal-inc-hcc-ex-dividend-date-scheduled-for-april-12-2018-cm946310,2018	Warrior Met Coal Inc HCC will begin trading ex dividend on April 12 2018 A cash dividend payment of 6 53 per share is scheduled to be paid on April 20 2018 Shareholders who purchased HCC prior to the ex dividend date are eligible for the cash dividend payment At the current stock	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/EIhRQe1k8rM/warrior-met-coal-inc-hcc-ex-dividend-date-scheduled-for-april-12-2018-cm946310
2018-01-01,2018	Warrior Met Coal Inc HCC will begin trading ex dividend on April 12 2018 A cash dividend payment of 6 53 per share is scheduled to be paid on April 20 2018 Shareholders who purchased HCC prior to the ex dividend date are eligible for the cash dividend payment At the current stock	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/7QPRPeVr8HU/warrior-met-coal-inc-hcc-ex-dividend-date-scheduled-for-april-12-2018-cm946310,2018	Warrior Met Coal Inc HCC will begin trading ex dividend on April 12 2018 A cash dividend payment of 6 53 per share is scheduled to be paid on April 20 2018 Shareholders who purchased HCC prior to the ex dividend date are eligible for the cash dividend payment At the current stock	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/7QPRPeVr8HU/warrior-met-coal-inc-hcc-ex-dividend-date-scheduled-for-april-12-2018-cm946310
2018-01-01,2018	Arch Coal Inc ARCH will begin trading ex dividend on March 02 2018 A cash dividend payment of 0 4 per share is scheduled to be paid on March 15 2018 Shareholders who purchased ARCH prior to the ex dividend date are eligible for the cash dividend payment This represents an 14	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/0WhYw5YoGOs/arch-coal-inc-arch-ex-dividend-date-scheduled-for-march-02-2018-cm928598,2018	Arch Coal Inc ARCH will begin trading ex dividend on March 02 2018 A cash dividend payment of 0 4 per share is scheduled to be paid on March 15 2018 Shareholders who purchased ARCH prior to the ex dividend date are eligible for the cash dividend payment This represents an 14	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/0WhYw5YoGOs/arch-coal-inc-arch-ex-dividend-date-scheduled-for-march-02-2018-cm928598
2018-01-01,2018	Arch Coal Inc ARCH will begin trading ex dividend on March 02 2018 A cash dividend payment of 0 4 per share is scheduled to be paid on March 15 2018 Shareholders who purchased ARCH prior to the ex dividend date are eligible for the cash dividend payment This represents an 14	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/zVPy7SMQUm4/arch-coal-inc-arch-ex-dividend-date-scheduled-for-march-02-2018-cm928598,2018	Arch Coal Inc ARCH will begin trading ex dividend on March 02 2018 A cash dividend payment of 0 4 per share is scheduled to be paid on March 15 2018 Shareholders who purchased ARCH prior to the ex dividend date are eligible for the cash dividend payment This represents an 14	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/zVPy7SMQUm4/arch-coal-inc-arch-ex-dividend-date-scheduled-for-march-02-2018-cm928598
2018-01-01,2018	Alliance Resource Partners L P ARLP will begin trading ex dividend on August 06 2018 A cash dividend payment of 0 52 per share is scheduled to be paid on August 14 2018 Shareholders who purchased ARLP prior to the ex dividend date are eligible for the cash dividend payment	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/ZaXywaFCHdU/alliance-resource-partners-lp-arlp-ex-dividend-date-scheduled-for-august-06-2018-cm1001785,2018	Alliance Resource Partners L P ARLP will begin trading ex dividend on August 06 2018 A cash dividend payment of 0 52 per share is scheduled to be paid on August 14 2018 Shareholders who purchased ARLP prior to the ex dividend date are eligible for the cash dividend payment	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/ZaXywaFCHdU/alliance-resource-partners-lp-arlp-ex-dividend-date-scheduled-for-august-06-2018-cm1001785
2018-01-01,2018	Warrior Met Coal Inc HCC will begin trading ex dividend on November 01 2018 A cash dividend payment of 0 05 per share is scheduled to be paid on November 09 2018 Shareholders who purchased HCC prior to the ex dividend date are eligible for the cash dividend payment This marks the	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/UQsgyfFC630/warrior-met-coal-inc-hcc-ex-dividend-date-scheduled-for-november-01-2018-cm1046750,2018	Warrior Met Coal Inc HCC will begin trading ex dividend on November 01 2018 A cash dividend payment of 0 05 per share is scheduled to be paid on November 09 2018 Shareholders who purchased HCC prior to the ex dividend date are eligible for the cash dividend payment This marks the	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/UQsgyfFC630/warrior-met-coal-inc-hcc-ex-dividend-date-scheduled-for-november-01-2018-cm1046750
2018-01-01,2018	Warrior Met Coal Inc HCC will begin trading ex dividend on February 22 2018 A cash dividend payment of 0 05 per share is scheduled to be paid on March 02 2018 Shareholders who purchased HCC prior to the ex dividend date are eligible for the cash dividend payment This represents	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/U0dnUjAEhcY/warrior-met-coal-inc-hcc-ex-dividend-date-scheduled-for-february-22-2018-cm924243,2018	Warrior Met Coal Inc HCC will begin trading ex dividend on February 22 2018 A cash dividend payment of 0 05 per share is scheduled to be paid on March 02 2018 Shareholders who purchased HCC prior to the ex dividend date are eligible for the cash dividend payment This represents	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/U0dnUjAEhcY/warrior-met-coal-inc-hcc-ex-dividend-date-scheduled-for-february-22-2018-cm924243
2018-01-01,2018	Alliance Resource Partners L P ARLP will begin trading ex dividend on November 06 2018 A cash dividend payment of 0 525 per share is scheduled to be paid on November 14 2018 Shareholders who purchased ARLP prior to the ex dividend date are eligible for the cash dividend payment	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/TI6cEUmA5kE/alliance-resource-partners-lp-arlp-ex-dividend-date-scheduled-for-november-06-2018-cm1049783,2018	Alliance Resource Partners L P ARLP will begin trading ex dividend on November 06 2018 A cash dividend payment of 0 525 per share is scheduled to be paid on November 14 2018 Shareholders who purchased ARLP prior to the ex dividend date are eligible for the cash dividend payment	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/TI6cEUmA5kE/alliance-resource-partners-lp-arlp-ex-dividend-date-scheduled-for-november-06-2018-cm1049783
2018-01-01,2018	Alliance Resource Partners L P ARLP will begin trading ex dividend on November 06 2018 A cash dividend payment of 0 525 per share is scheduled to be paid on November 14 2018 Shareholders who purchased ARLP prior to the ex dividend date are eligible for the cash dividend payment	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/jy9GTy17fTI/alliance-resource-partners-lp-arlp-ex-dividend-date-scheduled-for-november-06-2018-cm1049783,2018	Alliance Resource Partners L P ARLP will begin trading ex dividend on November 06 2018 A cash dividend payment of 0 525 per share is scheduled to be paid on November 14 2018 Shareholders who purchased ARLP prior to the ex dividend date are eligible for the cash dividend payment	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/jy9GTy17fTI/alliance-resource-partners-lp-arlp-ex-dividend-date-scheduled-for-november-06-2018-cm1049783
2018-01-01,2018	Warrior Met Coal Inc HCC will begin trading ex dividend on February 22 2018 A cash dividend payment of 0 05 per share is scheduled to be paid on March 02 2018 Shareholders who purchased HCC prior to the ex dividend date are eligible for the cash dividend payment This represents	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/i66_K6IfAMk/warrior-met-coal-inc-hcc-ex-dividend-date-scheduled-for-february-22-2018-cm924243,2018	Warrior Met Coal Inc HCC will begin trading ex dividend on February 22 2018 A cash dividend payment of 0 05 per share is scheduled to be paid on March 02 2018 Shareholders who purchased HCC prior to the ex dividend date are eligible for the cash dividend payment This represents	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/i66_K6IfAMk/warrior-met-coal-inc-hcc-ex-dividend-date-scheduled-for-february-22-2018-cm924243
2019-01-01,2019	Arch Coal Inc ARCH will begin trading ex dividend on August 29 2019 A cash dividend payment of 0 45 per share is scheduled to be paid on September 13 2019 Shareholders who purchased ARCH prior to the ex dividend date are eligible for the cash dividend payment This marks the 3rd	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/25GsWeqjXTM/arch-coal-inc-arch-ex-dividend-date-scheduled-for-august-29-2019-cm1204345,2019	Arch Coal Inc ARCH will begin trading ex dividend on August 29 2019 A cash dividend payment of 0 45 per share is scheduled to be paid on September 13 2019 Shareholders who purchased ARCH prior to the ex dividend date are eligible for the cash dividend payment This marks the 3rd	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/25GsWeqjXTM/arch-coal-inc-arch-ex-dividend-date-scheduled-for-august-29-2019-cm1204345
2019-01-01,2019	Alliance Resource Partners L P ARLP will begin trading ex dividend on August 06 2019 A cash dividend payment of 0 54 per share is scheduled to be paid on August 14 2019 Shareholders who purchased ARLP prior to the ex dividend date are eligible for the cash dividend payment	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/Pvxtbi42YiU/alliance-resource-partners-lp-arlp-ex-dividend-date-scheduled-for-august-06-2019-cm1190909,2019	Alliance Resource Partners L P ARLP will begin trading ex dividend on August 06 2019 A cash dividend payment of 0 54 per share is scheduled to be paid on August 14 2019 Shareholders who purchased ARLP prior to the ex dividend date are eligible for the cash dividend payment	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/Pvxtbi42YiU/alliance-resource-partners-lp-arlp-ex-dividend-date-scheduled-for-august-06-2019-cm1190909
2019-01-01,2019	Alliance Resource Partners L P ARLP will begin trading ex dividend on August 06 2019 A cash dividend payment of 0 54 per share is scheduled to be paid on August 14 2019 Shareholders who purchased ARLP prior to the ex dividend date are eligible for the cash dividend payment	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/ROu-bLXfWiE/alliance-resource-partners-lp-arlp-ex-dividend-date-scheduled-for-august-06-2019-cm1190909,2019	Alliance Resource Partners L P ARLP will begin trading ex dividend on August 06 2019 A cash dividend payment of 0 54 per share is scheduled to be paid on August 14 2019 Shareholders who purchased ARLP prior to the ex dividend date are eligible for the cash dividend payment	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/ROu-bLXfWiE/alliance-resource-partners-lp-arlp-ex-dividend-date-scheduled-for-august-06-2019-cm1190909
2019-01-01,2019	Warrior Met Coal Inc HCC will begin trading ex dividend on August 01 2019 A cash dividend payment of 0 05 per share is scheduled to be paid on August 09 2019 Shareholders who purchased HCC prior to the ex dividend date are eligible for the cash dividend payment This represents	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/Ok4HMz_uM3s/warrior-met-coal-inc-hcc-ex-dividend-date-scheduled-for-august-01-2019-cm1187401,2019	Warrior Met Coal Inc HCC will begin trading ex dividend on August 01 2019 A cash dividend payment of 0 05 per share is scheduled to be paid on August 09 2019 Shareholders who purchased HCC prior to the ex dividend date are eligible for the cash dividend payment This represents	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/Ok4HMz_uM3s/warrior-met-coal-inc-hcc-ex-dividend-date-scheduled-for-august-01-2019-cm1187401
2019-01-01,2019	Warrior Met Coal Inc HCC will begin trading ex dividend on August 01 2019 A cash dividend payment of 0 05 per share is scheduled to be paid on August 09 2019 Shareholders who purchased HCC prior to the ex dividend date are eligible for the cash dividend payment This represents	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/74UG4dYPzV8/warrior-met-coal-inc-hcc-ex-dividend-date-scheduled-for-august-01-2019-cm1187401,2019	Warrior Met Coal Inc HCC will begin trading ex dividend on August 01 2019 A cash dividend payment of 0 05 per share is scheduled to be paid on August 09 2019 Shareholders who purchased HCC prior to the ex dividend date are eligible for the cash dividend payment This represents	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/74UG4dYPzV8/warrior-met-coal-inc-hcc-ex-dividend-date-scheduled-for-august-01-2019-cm1187401
2019-01-01,2019	Arch Coal Inc ARCH will begin trading ex dividend on May 30 2019 A cash dividend payment of 0 45 per share is scheduled to be paid on June 14 2019 Shareholders who purchased ARCH prior to the ex dividend date are eligible for the cash dividend payment This represents an 12 5	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/Ae3u1hlAjSA/arch-coal-inc-arch-ex-dividend-date-scheduled-for-may-30-2019-cm1155538,2019	Arch Coal Inc ARCH will begin trading ex dividend on May 30 2019 A cash dividend payment of 0 45 per share is scheduled to be paid on June 14 2019 Shareholders who purchased ARCH prior to the ex dividend date are eligible for the cash dividend payment This represents an 12 5	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/Ae3u1hlAjSA/arch-coal-inc-arch-ex-dividend-date-scheduled-for-may-30-2019-cm1155538
2019-01-01,2019	Arch Coal Inc ARCH will begin trading ex dividend on May 30 2019 A cash dividend payment of 0 45 per share is scheduled to be paid on June 14 2019 Shareholders who purchased ARCH prior to the ex dividend date are eligible for the cash dividend payment This represents an 12 5	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/kgrmr8ohv1U/arch-coal-inc-arch-ex-dividend-date-scheduled-for-may-30-2019-cm1155538,2019	Arch Coal Inc ARCH will begin trading ex dividend on May 30 2019 A cash dividend payment of 0 45 per share is scheduled to be paid on June 14 2019 Shareholders who purchased ARCH prior to the ex dividend date are eligible for the cash dividend payment This represents an 12 5	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/kgrmr8ohv1U/arch-coal-inc-arch-ex-dividend-date-scheduled-for-may-30-2019-cm1155538
2019-01-01,2019	Alliance Resource Partners L P ARLP will begin trading ex dividend on May 07 2019 A cash dividend payment of 0 535 per share is scheduled to be paid on May 15 2019 Shareholders who purchased ARLP prior to the ex dividend date are eligible for the cash dividend payment This	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/HUqnAtW_Fyk/alliance-resource-partners-lp-arlp-ex-dividend-date-scheduled-for-may-07-2019-cm1142857,2019	Alliance Resource Partners L P ARLP will begin trading ex dividend on May 07 2019 A cash dividend payment of 0 535 per share is scheduled to be paid on May 15 2019 Shareholders who purchased ARLP prior to the ex dividend date are eligible for the cash dividend payment This	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/HUqnAtW_Fyk/alliance-resource-partners-lp-arlp-ex-dividend-date-scheduled-for-may-07-2019-cm1142857
2019-01-01,2019	Warrior Met Coal Inc HCC will begin trading ex dividend on May 02 2019 A cash dividend payment of 0 05 per share is scheduled to be paid on May 10 2019 Shareholders who purchased HCC prior to the ex dividend date are eligible for the cash dividend payment This marks the 5th	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/9IMFn4mpPxA/warrior-met-coal-inc-hcc-ex-dividend-date-scheduled-for-may-02-2019-cm1139299,2019	Warrior Met Coal Inc HCC will begin trading ex dividend on May 02 2019 A cash dividend payment of 0 05 per share is scheduled to be paid on May 10 2019 Shareholders who purchased HCC prior to the ex dividend date are eligible for the cash dividend payment This marks the 5th	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/9IMFn4mpPxA/warrior-met-coal-inc-hcc-ex-dividend-date-scheduled-for-may-02-2019-cm1139299
2019-01-01,2019	Warrior Met Coal Inc HCC will begin trading ex dividend on May 02 2019 A cash dividend payment of 0 05 per share is scheduled to be paid on May 10 2019 Shareholders who purchased HCC prior to the ex dividend date are eligible for the cash dividend payment This marks the 5th	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/3pUe5P5sknQ/warrior-met-coal-inc-hcc-ex-dividend-date-scheduled-for-may-02-2019-cm1139299,2019	Warrior Met Coal Inc HCC will begin trading ex dividend on May 02 2019 A cash dividend payment of 0 05 per share is scheduled to be paid on May 10 2019 Shareholders who purchased HCC prior to the ex dividend date are eligible for the cash dividend payment This marks the 5th	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/3pUe5P5sknQ/warrior-met-coal-inc-hcc-ex-dividend-date-scheduled-for-may-02-2019-cm1139299
2019-01-01,2019	Warrior Met Coal Inc HCC will begin trading ex dividend on March 01 2019 A cash dividend payment of 0 05 per share is scheduled to be paid on March 11 2019 Shareholders who purchased HCC prior to the ex dividend date are eligible for the cash dividend payment This marks the 4th	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/XLhGvlAM0is/warrior-met-coal-inc-hcc-ex-dividend-date-scheduled-for-march-01-2019-cm1107410,2019	Warrior Met Coal Inc HCC will begin trading ex dividend on March 01 2019 A cash dividend payment of 0 05 per share is scheduled to be paid on March 11 2019 Shareholders who purchased HCC prior to the ex dividend date are eligible for the cash dividend payment This marks the 4th	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/XLhGvlAM0is/warrior-met-coal-inc-hcc-ex-dividend-date-scheduled-for-march-01-2019-cm1107410
2019-01-01,2019	Warrior Met Coal Inc HCC will begin trading ex dividend on March 01 2019 A cash dividend payment of 0 05 per share is scheduled to be paid on March 11 2019 Shareholders who purchased HCC prior to the ex dividend date are eligible for the cash dividend payment This marks the 4th	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/y5kyha_U0BI/warrior-met-coal-inc-hcc-ex-dividend-date-scheduled-for-march-01-2019-cm1107410,2019	Warrior Met Coal Inc HCC will begin trading ex dividend on March 01 2019 A cash dividend payment of 0 05 per share is scheduled to be paid on March 11 2019 Shareholders who purchased HCC prior to the ex dividend date are eligible for the cash dividend payment This marks the 4th	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/y5kyha_U0BI/warrior-met-coal-inc-hcc-ex-dividend-date-scheduled-for-march-01-2019-cm1107410
