publishedAt,title,description
2018-01-01,2018-- Costco Wholesale Corporation today announced that its Board of Directors has declared a quarterly cash dividend on Costco common stock of$. 50 per share. The quarterly ...	https://finance.yahoo.com/news/costco-wholesale-corporation-announces-quarterly-213000325.html?.tsrc=rss,2018-- Costco Wholesale Corporation today announced that its Board of Directors has declared a quarterly cash dividend on Costco common stock of$. 50 per share. The quarterly ...	https://finance.yahoo.com/news/costco-wholesale-corporation-announces-quarterly-213000325.html?.tsrc=rss
2019-01-01,2019 -- Costco Wholesale Corporation (“Costco” or the “Company”) (Nasdaq: COST) today reported net sales of $11.67 billion for the retail month of.	https://finance.yahoo.com/news/costco-wholesale-corporation-reports-may-201500477.html?.tsrc=rss,2019 -- Costco Wholesale Corporation (“Costco” or the “Company”) (Nasdaq: COST) today reported net sales of $11.67 billion for the retail month of.	https://finance.yahoo.com/news/costco-wholesale-corporation-reports-may-201500477.html?.tsrc=rss
2019-01-01,2019 -- Costco Wholesale Corporation (“Costco” or the “Company”) (Nasdaq: COST) today reported net sales of $15.42 billion for the retail month of.	https://finance.yahoo.com/news/costco-wholesale-corporation-reports-december-211500186.html?.tsrc=rss,2019 -- Costco Wholesale Corporation (“Costco” or the “Company”) (Nasdaq: COST) today reported net sales of $15.42 billion for the retail month of.	https://finance.yahoo.com/news/costco-wholesale-corporation-reports-december-211500186.html?.tsrc=rss
2019-01-01,2019 -- Costco Wholesale Corporation (“Costco” or the “Company”) (Nasdaq: COST) today announced that its Board of Directors has declared a quarterly.	https://finance.yahoo.com/news/costco-wholesale-corporation-announces-quarterly-215311705.html?.tsrc=rss,2019 -- Costco Wholesale Corporation (“Costco” or the “Company”) (Nasdaq: COST) today announced that its Board of Directors has declared a quarterly.	https://finance.yahoo.com/news/costco-wholesale-corporation-announces-quarterly-215311705.html?.tsrc=rss
2019-01-01,2019 -- Costco Wholesale Corporation (“Costco” or the “Company”) (Nasdaq: COST) today reported net sales of $10.71 billion for the retail month of.	https://finance.yahoo.com/news/costco-wholesale-corporation-reports-january-211500385.html?.tsrc=rss,2019 -- Costco Wholesale Corporation (“Costco” or the “Company”) (Nasdaq: COST) today reported net sales of $10.71 billion for the retail month of.	https://finance.yahoo.com/news/costco-wholesale-corporation-reports-january-211500385.html?.tsrc=rss
2019-01-01,2019 -- Costco Wholesale Corporation (“Costco” or the “Company”) (Nasdaq: COST) today announced its operating results for the second quarter (twelve.	https://finance.yahoo.com/news/costco-wholesale-corporation-reports-second-211500276.html?.tsrc=rss,2019 -- Costco Wholesale Corporation (“Costco” or the “Company”) (Nasdaq: COST) today announced its operating results for the second quarter (twelve.	https://finance.yahoo.com/news/costco-wholesale-corporation-reports-second-211500276.html?.tsrc=rss
2019-01-01,2019 -- Costco Wholesale Corporation (“Costco” or the “Company”) (Nasdaq: COST) today reported net sales of $13.87 billion for the retail month of.	https://finance.yahoo.com/news/costco-wholesale-corporation-reports-march-201500537.html?.tsrc=rss,2019 -- Costco Wholesale Corporation (“Costco” or the “Company”) (Nasdaq: COST) today reported net sales of $13.87 billion for the retail month of.	https://finance.yahoo.com/news/costco-wholesale-corporation-reports-march-201500537.html?.tsrc=rss
2019-01-01,"2019 -- Costco Wholesale Corporation (""""Costco"""" or the """"Company"""") (NASDAQ: COST) today announced that its Board of Directors has reauthorized a common.""	https://finance.yahoo.com/news/costco-wholesale-corporation-announces-reauthorization-203600286.html?.tsrc=rss","2019 -- Costco Wholesale Corporation (""""Costco"""" or the """"Company"""") (NASDAQ: COST) today announced that its Board of Directors has reauthorized a common.""	https://finance.yahoo.com/news/costco-wholesale-corporation-announces-reauthorization-203600286.html?.tsrc=rss"
2019-01-01,2019 -- Costco Wholesale Corporation (“Costco” or the “Company”) (Nasdaq: COST) today reported net sales of $11.60 billion for the retail month of.	https://finance.yahoo.com/news/costco-wholesale-corporation-reports-april-201500418.html?.tsrc=rss,2019 -- Costco Wholesale Corporation (“Costco” or the “Company”) (Nasdaq: COST) today reported net sales of $11.60 billion for the retail month of.	https://finance.yahoo.com/news/costco-wholesale-corporation-reports-april-201500418.html?.tsrc=rss
2019-01-01,2019 -- Costco Wholesale Corporation (“Costco” or the “Company”) (Nasdaq: COST) today announced its operating results for the third quarter (twelve.	https://finance.yahoo.com/news/costco-wholesale-corporation-reports-third-201500146.html?.tsrc=rss,2019 -- Costco Wholesale Corporation (“Costco” or the “Company”) (Nasdaq: COST) today announced its operating results for the third quarter (twelve.	https://finance.yahoo.com/news/costco-wholesale-corporation-reports-third-201500146.html?.tsrc=rss
2019-01-01,2019 -- Costco Wholesale Corporation (“Costco” or the “Company”) (Nasdaq: COST) today reported net sales of $14.57 billion for the retail month of.	https://finance.yahoo.com/news/costco-wholesale-corporation-reports-june-201500751.html?.tsrc=rss,2019 -- Costco Wholesale Corporation (“Costco” or the “Company”) (Nasdaq: COST) today reported net sales of $14.57 billion for the retail month of.	https://finance.yahoo.com/news/costco-wholesale-corporation-reports-june-201500751.html?.tsrc=rss
2019-01-01,2019 -- Costco Wholesale Corporation (“Costco” or the “Company”) (Nasdaq: COST) today announced that its Board of Directors has declared a quarterly.	https://finance.yahoo.com/news/costco-wholesale-corporation-announces-quarterly-225600869.html?.tsrc=rss,2019 -- Costco Wholesale Corporation (“Costco” or the “Company”) (Nasdaq: COST) today announced that its Board of Directors has declared a quarterly.	https://finance.yahoo.com/news/costco-wholesale-corporation-announces-quarterly-225600869.html?.tsrc=rss
2019-01-01,2019 -- Costco Wholesale Corporation (“Costco” or the “Company”) (Nasdaq: COST) today reported net sales of $11.79 billion for the retail month of.	https://finance.yahoo.com/news/costco-wholesale-corporation-reports-august-201500022.html?.tsrc=rss,2019 -- Costco Wholesale Corporation (“Costco” or the “Company”) (Nasdaq: COST) today reported net sales of $11.79 billion for the retail month of.	https://finance.yahoo.com/news/costco-wholesale-corporation-reports-august-201500022.html?.tsrc=rss
2019-01-01,2019 -- Costco Wholesale Corporation (“Costco” or the “Company”) (Nasdaq: COST) today announced its operating results for the 16-week fourth quarter.	https://finance.yahoo.com/news/costco-wholesale-corporation-reports-fourth-201500666.html?.tsrc=rss,2019 -- Costco Wholesale Corporation (“Costco” or the “Company”) (Nasdaq: COST) today announced its operating results for the 16-week fourth quarter.	https://finance.yahoo.com/news/costco-wholesale-corporation-reports-fourth-201500666.html?.tsrc=rss
2019-01-01,2019 -- Costco Wholesale Corporation (“Costco” or the “Company”) (Nasdaq: COST) today reported net sales of $14.41 billion for the retail month of.	https://finance.yahoo.com/news/costco-wholesale-corporation-reports-september-201500365.html?.tsrc=rss,2019 -- Costco Wholesale Corporation (“Costco” or the “Company”) (Nasdaq: COST) today reported net sales of $14.41 billion for the retail month of.	https://finance.yahoo.com/news/costco-wholesale-corporation-reports-september-201500365.html?.tsrc=rss
2019-01-01,2019 -- Costco Wholesale Corporation (“Costco” or the “Company”) (Nasdaq: COST) today announced that its Board of Directors has declared a quarterly.	https://finance.yahoo.com/news/costco-wholesale-corporation-announces-quarterly-204551685.html?.tsrc=rss,2019 -- Costco Wholesale Corporation (“Costco” or the “Company”) (Nasdaq: COST) today announced that its Board of Directors has declared a quarterly.	https://finance.yahoo.com/news/costco-wholesale-corporation-announces-quarterly-204551685.html?.tsrc=rss
2019-01-01,2019 -- Costco Wholesale Corporation (“Costco” or the “Company”) (Nasdaq: COST) today reported net sales of $11.92 billion for the retail month of.	https://finance.yahoo.com/news/costco-wholesale-corporation-reports-october-211500358.html?.tsrc=rss,2019 -- Costco Wholesale Corporation (“Costco” or the “Company”) (Nasdaq: COST) today reported net sales of $11.92 billion for the retail month of.	https://finance.yahoo.com/news/costco-wholesale-corporation-reports-october-211500358.html?.tsrc=rss
2019-01-01,2019 -- Costco Wholesale Corporation (“Costco” or the “Company”) (Nasdaq: COST) today reported net sales of $13.62 billion for the retail month of.	https://finance.yahoo.com/news/costco-wholesale-corporation-reports-november-211510652.html?.tsrc=rss,2019 -- Costco Wholesale Corporation (“Costco” or the “Company”) (Nasdaq: COST) today reported net sales of $13.62 billion for the retail month of.	https://finance.yahoo.com/news/costco-wholesale-corporation-reports-november-211510652.html?.tsrc=rss
2019-01-01,2019 -- Costco Wholesale Corporation (“Costco” or the “Company”) (Nasdaq: COST) today announced its operating results for the first quarter (twelve.	https://finance.yahoo.com/news/costco-wholesale-corporation-reports-first-211510014.html?.tsrc=rss,2019 -- Costco Wholesale Corporation (“Costco” or the “Company”) (Nasdaq: COST) today announced its operating results for the first quarter (twelve.	https://finance.yahoo.com/news/costco-wholesale-corporation-reports-first-211510014.html?.tsrc=rss
2019-01-01,2019 -- Costco Wholesale Corporation (“Costco” or the “Company”) (Nasdaq: COST) today reported net sales of $11.43 billion for the retail month of.	https://finance.yahoo.com/news/costco-wholesale-corporation-reports-july-201500602.html?.tsrc=rss,2019 -- Costco Wholesale Corporation (“Costco” or the “Company”) (Nasdaq: COST) today reported net sales of $11.43 billion for the retail month of.	https://finance.yahoo.com/news/costco-wholesale-corporation-reports-july-201500602.html?.tsrc=rss
2020-01-01,2020 -- Costco Wholesale Corporation (“Costco” or the “Company”) (Nasdaq: COST) today reported net sales of $12.55 billion for the retail month of.	https://finance.yahoo.com/news/costco-wholesale-corporation-reports-may-201510632.html?.tsrc=rss,2020 -- Costco Wholesale Corporation (“Costco” or the “Company”) (Nasdaq: COST) today reported net sales of $12.55 billion for the retail month of.	https://finance.yahoo.com/news/costco-wholesale-corporation-reports-may-201510632.html?.tsrc=rss
2020-01-01,2020 -- Costco Wholesale Corporation (“Costco” or the “Company”) (Nasdaq: COST) today announced its operating results for the third quarter (12 weeks).	https://finance.yahoo.com/news/costco-wholesale-corporation-reports-third-201510741.html?.tsrc=rss,2020 -- Costco Wholesale Corporation (“Costco” or the “Company”) (Nasdaq: COST) today announced its operating results for the third quarter (12 weeks).	https://finance.yahoo.com/news/costco-wholesale-corporation-reports-third-201510741.html?.tsrc=rss
2020-01-01,2020 -- Costco Wholesale Corporation (“Costco” or the “Company”) (Nasdaq: COST) today reported net sales of $11.39 billion for the retail month of.	https://finance.yahoo.com/news/costco-wholesale-corporation-reports-april-201510261.html?.tsrc=rss,2020 -- Costco Wholesale Corporation (“Costco” or the “Company”) (Nasdaq: COST) today reported net sales of $11.39 billion for the retail month of.	https://finance.yahoo.com/news/costco-wholesale-corporation-reports-april-201510261.html?.tsrc=rss
2020-01-01,2020 -- Costco Wholesale Corporation (“Costco” or the “Company”) (Nasdaq: COST) today announced the pricing of its offering of $4 billion aggregate.	https://finance.yahoo.com/news/costco-wholesale-corporation-announces-4-221433955.html?.tsrc=rss,2020 -- Costco Wholesale Corporation (“Costco” or the “Company”) (Nasdaq: COST) today announced the pricing of its offering of $4 billion aggregate.	https://finance.yahoo.com/news/costco-wholesale-corporation-announces-4-221433955.html?.tsrc=rss
2020-01-01,2020 -- Costco Wholesale Corporation (“Costco” or the “Company”) (Nasdaq: COST) today announced that its Board of Directors has declared a quarterly.	https://finance.yahoo.com/news/costco-wholesale-corporation-announces-increase-202023304.html?.tsrc=rss,2020 -- Costco Wholesale Corporation (“Costco” or the “Company”) (Nasdaq: COST) today announced that its Board of Directors has declared a quarterly.	https://finance.yahoo.com/news/costco-wholesale-corporation-announces-increase-202023304.html?.tsrc=rss
2020-01-01,2020 -- Costco Wholesale Corporation (“Costco” or the “Company”) (Nasdaq: COST) today announced that its Board of Directors has declared a quarterly.	https://finance.yahoo.com/news/costco-wholesale-corporation-announces-quarterly-211510828.html?.tsrc=rss,2020 -- Costco Wholesale Corporation (“Costco” or the “Company”) (Nasdaq: COST) today announced that its Board of Directors has declared a quarterly.	https://finance.yahoo.com/news/costco-wholesale-corporation-announces-quarterly-211510828.html?.tsrc=rss
2020-01-01,2020 -- Costco Wholesale Corporation (“Costco” or the “Company”) (Nasdaq: COST) today announced that it has completed the acquisition of Innovel.	https://finance.yahoo.com/news/costco-wholesale-corporation-acquisition-further-130105248.html?.tsrc=rss,2020 -- Costco Wholesale Corporation (“Costco” or the “Company”) (Nasdaq: COST) today announced that it has completed the acquisition of Innovel.	https://finance.yahoo.com/news/costco-wholesale-corporation-acquisition-further-130105248.html?.tsrc=rss
2020-01-01,2020 -- Costco Wholesale Corporation (“Costco” or the “Company”) (Nasdaq: COST) today announced its operating results for the second quarter (twelve.	https://finance.yahoo.com/news/costco-wholesale-corporation-reports-second-211510546.html?.tsrc=rss,2020 -- Costco Wholesale Corporation (“Costco” or the “Company”) (Nasdaq: COST) today announced its operating results for the second quarter (twelve.	https://finance.yahoo.com/news/costco-wholesale-corporation-reports-second-211510546.html?.tsrc=rss
2020-01-01,2020 -- Costco Wholesale Corporation (“Costco” or the “Company”) (Nasdaq: COST) today reported net sales of $11.57 billion for the retail month of.	https://finance.yahoo.com/news/costco-wholesale-corporation-reports-january-211510988.html?.tsrc=rss,2020 -- Costco Wholesale Corporation (“Costco” or the “Company”) (Nasdaq: COST) today reported net sales of $11.57 billion for the retail month of.	https://finance.yahoo.com/news/costco-wholesale-corporation-reports-january-211510988.html?.tsrc=rss
2020-01-01,2020 -- Costco Wholesale Corporation (“Costco” or the “Company”) (Nasdaq: COST) today reported net sales of $17.04 billion for the retail month of.	https://finance.yahoo.com/news/costco-wholesale-corporation-reports-december-211510750.html?.tsrc=rss,2020 -- Costco Wholesale Corporation (“Costco” or the “Company”) (Nasdaq: COST) today reported net sales of $17.04 billion for the retail month of.	https://finance.yahoo.com/news/costco-wholesale-corporation-reports-december-211510750.html?.tsrc=rss
2020-01-01,2020 -- Costco Wholesale Corporation (“Costco” or the “Company”) (Nasdaq: COST) today reported net sales of $15.49 billion for the retail month of.	https://finance.yahoo.com/news/costco-wholesale-corporation-reports-march-201510412.html?.tsrc=rss,2020 -- Costco Wholesale Corporation (“Costco” or the “Company”) (Nasdaq: COST) today reported net sales of $15.49 billion for the retail month of.	https://finance.yahoo.com/news/costco-wholesale-corporation-reports-march-201510412.html?.tsrc=rss
2020-01-01,2020 -- Costco Wholesale Corporation (“Costco” or the “Company”) (Nasdaq: COST) today announced that its Board of Directors has declared a quarterly.	https://finance.yahoo.com/news/costco-wholesale-corporation-announces-quarterly-201510331.html?.tsrc=rss,2020 -- Costco Wholesale Corporation (“Costco” or the “Company”) (Nasdaq: COST) today announced that its Board of Directors has declared a quarterly.	https://finance.yahoo.com/news/costco-wholesale-corporation-announces-quarterly-201510331.html?.tsrc=rss
2025-04-03,now that the Federal Reserve’s rate increases are on hold.	https://finance.yahoo.com/m/e90f4b7d-c9a0-3c51-9682-27388e49ab5c/facebook%2C-nvidia%2C-and-costco.html?.tsrc=rss,now that the Federal Reserve’s rate increases are on hold.	https://finance.yahoo.com/m/e90f4b7d-c9a0-3c51-9682-27388e49ab5c/facebook%2C-nvidia%2C-and-costco.html?.tsrc=rss
