publishedAt,title,description
2018-01-08,2018-01-08	2018-01-08 19:54:39	V	Visa Inc.	Visa to boost contribution to U.S.-based employees' retirement plan	(Reuters) - Visa Inc (V.N) said on Monday it would increase contributions to its U.S.-based employees' retirement savings plans as the world's largest payment processor benefits from a new tax law. The ...	https://finance.yahoo.com/news/visa-boost-contribution-u-based-195439817.html?.tsrc=rss,2018-01-08	2018-01-08 19:54:39	V	Visa Inc.	Visa to boost contribution to U.S.-based employees' retirement plan	(Reuters) - Visa Inc (V.N) said on Monday it would increase contributions to its U.S.-based employees' retirement savings plans as the world's largest payment processor benefits from a new tax law. The ...	https://finance.yahoo.com/news/visa-boost-contribution-u-based-195439817.html?.tsrc=rss
2018-01-08,2018-01-08	2018-01-08 20:05:21	V	Visa Inc.	Visa to boost contribution to U.S.-based employees' retirement plan	Visa Inc said on Monday it would increase contributions to its U.S.-based employees' retirement savings plans as the world's largest payment processor benefits from a new tax law. The company will increase ...	https://finance.yahoo.com/news/visa-boost-contribution-u-based-200521205.html?.tsrc=rss,2018-01-08	2018-01-08 20:05:21	V	Visa Inc.	Visa to boost contribution to U.S.-based employees' retirement plan	Visa Inc said on Monday it would increase contributions to its U.S.-based employees' retirement savings plans as the world's largest payment processor benefits from a new tax law. The company will increase ...	https://finance.yahoo.com/news/visa-boost-contribution-u-based-200521205.html?.tsrc=rss
2018-01-10,2018-01-10	2018-01-10 12:00:00	V	Visa Inc.	Visa Survey Reveals Canadians Are Ready to Say Goodbye to Passwords	Visa Survey Reveals Canadians Are Ready to Say Goodbye to Passwords	https://finance.yahoo.com/news/visa-survey-reveals-canadians-ready-120000266.html?.tsrc=rss,2018-01-10	2018-01-10 12:00:00	V	Visa Inc.	Visa Survey Reveals Canadians Are Ready to Say Goodbye to Passwords	Visa Survey Reveals Canadians Are Ready to Say Goodbye to Passwords	https://finance.yahoo.com/news/visa-survey-reveals-canadians-ready-120000266.html?.tsrc=rss
2018-01-10,2018-01-10	2018-01-10 14:04:17	V	Visa Inc.	A Look at Visa’s Operating Revenues in Fiscal 2017	Visa: Fiscal 2017 Performance and Expectations for Fiscal 2018	http://finance.yahoo.com/r/c62ef056-4e39-3e6a-aaff-cda9034cae18/look-visas-operating-revenues-fiscal-2017?utm_source=yahoo&utm_medium=feed&yptr=yahoo&.tsrc=rss,2018-01-10	2018-01-10 14:04:17	V	Visa Inc.	A Look at Visa’s Operating Revenues in Fiscal 2017	Visa: Fiscal 2017 Performance and Expectations for Fiscal 2018	http://finance.yahoo.com/r/c62ef056-4e39-3e6a-aaff-cda9034cae18/look-visas-operating-revenues-fiscal-2017?utm_source=yahoo&utm_medium=feed&yptr=yahoo&.tsrc=rss
2018-01-11,2018-01-11	2018-01-11 00:33:00	V	Visa Inc.	3 Signs Visa and Mastercard&apos;s Best Days Are Ahead	This incredible growth story of these payments giants is far from over.	https://finance.yahoo.com/news/3-signs-visa-mastercard-apos-003300243.html?.tsrc=rss,2018-01-11	2018-01-11 00:33:00	V	Visa Inc.	3 Signs Visa and Mastercard&apos;s Best Days Are Ahead	This incredible growth story of these payments giants is far from over.	https://finance.yahoo.com/news/3-signs-visa-mastercard-apos-003300243.html?.tsrc=rss
2018-01-11,2018-01-11	2018-01-11 02:04:15	V	Visa Inc.	3 Signs Visa and Mastercard's Best Days Are Ahead	As the two largest credit card network operators Visa NYSE V and Mastercard NYSE MA dominate the global payments industry Yet with their stocks up 740 and 660 respectively over the past decade 160 you could be excused for thinking their days of turbocharged	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/uui42bkdyts/3-signs-visa-and-mastercards-best-days-are-ahead-cm903625,2018-01-11	2018-01-11 02:04:15	V	Visa Inc.	3 Signs Visa and Mastercard's Best Days Are Ahead	As the two largest credit card network operators Visa NYSE V and Mastercard NYSE MA dominate the global payments industry Yet with their stocks up 740 and 660 respectively over the past decade 160 you could be excused for thinking their days of turbocharged	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/uui42bkdyts/3-signs-visa-and-mastercards-best-days-are-ahead-cm903625
2018-01-11,2018-01-11	2018-01-11 12:31:27	V	Visa Inc.	Analyzing Visa’s Balance Sheet	Visa: Fiscal 2017 Performance and Expectations for Fiscal 2018	http://finance.yahoo.com/r/a1af9676-c5bd-3ae7-8b7d-12855c8b275d/analyzing-visas-balance-sheet?utm_source=yahoo&utm_medium=feed&yptr=yahoo&.tsrc=rss,2018-01-11	2018-01-11 12:31:27	V	Visa Inc.	Analyzing Visa’s Balance Sheet	Visa: Fiscal 2017 Performance and Expectations for Fiscal 2018	http://finance.yahoo.com/r/a1af9676-c5bd-3ae7-8b7d-12855c8b275d/analyzing-visas-balance-sheet?utm_source=yahoo&utm_medium=feed&yptr=yahoo&.tsrc=rss
2018-01-11,2018-01-11	2018-01-11 14:00:57	V	Visa Inc.	Here’s What’s behind Visa’s Premium Valuations	Visa: Fiscal 2017 Performance and Expectations for Fiscal 2018	http://finance.yahoo.com/r/a9b532d4-c137-375d-9bc7-ab2adce9c534/heres-whats-behind-visas-premium-valuations?utm_source=yahoo&utm_medium=feed&yptr=yahoo&.tsrc=rss,2018-01-11	2018-01-11 14:00:57	V	Visa Inc.	Here’s What’s behind Visa’s Premium Valuations	Visa: Fiscal 2017 Performance and Expectations for Fiscal 2018	http://finance.yahoo.com/r/a9b532d4-c137-375d-9bc7-ab2adce9c534/heres-whats-behind-visas-premium-valuations?utm_source=yahoo&utm_medium=feed&yptr=yahoo&.tsrc=rss
2018-01-12,2018-01-12	2018-01-12 22:53:50	V	Visa Inc.	David Rolfe Comments on Visa	Guru stock highlight	https://finance.yahoo.com/news/david-rolfe-comments-visa-225350876.html?.tsrc=rss,2018-01-12	2018-01-12 22:53:50	V	Visa Inc.	David Rolfe Comments on Visa	Guru stock highlight	https://finance.yahoo.com/news/david-rolfe-comments-visa-225350876.html?.tsrc=rss
2018-01-14,2018-01-14	2018-01-14 11:31:00	V	Visa Inc.	Visa Begins Pilots Of New Biometric Payment Card	Visa Begins Pilots Of New Biometric Payment Card	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/2sbx_zc1x4Y/visa-begins-pilots-of-new-biometric-payment-card-20180114-00015,2018-01-14	2018-01-14 11:31:00	V	Visa Inc.	Visa Begins Pilots Of New Biometric Payment Card	Visa Begins Pilots Of New Biometric Payment Card	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/2sbx_zc1x4Y/visa-begins-pilots-of-new-biometric-payment-card-20180114-00015
2018-01-14,2018-01-14	2018-01-14 13:06:00	V	Visa Inc.	Which Cryptocurrencies Have the Fastest Transaction Speeds?	Hint: Bitcoin and Ethereum aren&apos;t anywhere near the top.	https://finance.yahoo.com/news/cryptocurrencies-fastest-transaction-speeds-130600579.html?.tsrc=rss,2018-01-14	2018-01-14 13:06:00	V	Visa Inc.	Which Cryptocurrencies Have the Fastest Transaction Speeds?	Hint: Bitcoin and Ethereum aren&apos;t anywhere near the top.	https://finance.yahoo.com/news/cryptocurrencies-fastest-transaction-speeds-130600579.html?.tsrc=rss
2018-01-14,2018-01-14	2018-01-14 15:08:26	V	Visa Inc.	Which Cryptocurrencies Have the Fastest Transaction Speeds?	The stock market may be the most traditional path investors have used to create wealth over time but in recent months it s taken a clear back seat to cryptocurrencies Since 2017 began the combined value of all cryptocurrencies jumped from less than 18 billion to as high as 836	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/wbADCORHnXU/which-cryptocurrencies-have-the-fastest-transaction-speeds-cm905179,2018-01-14	2018-01-14 15:08:26	V	Visa Inc.	Which Cryptocurrencies Have the Fastest Transaction Speeds?	The stock market may be the most traditional path investors have used to create wealth over time but in recent months it s taken a clear back seat to cryptocurrencies Since 2017 began the combined value of all cryptocurrencies jumped from less than 18 billion to as high as 836	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/wbADCORHnXU/which-cryptocurrencies-have-the-fastest-transaction-speeds-cm905179
2018-01-14,2018-01-14	2018-01-14 11:31:00	V	Visa Inc.	Visa Begins Pilots Of New Biometric Payment Card	Visa Begins Pilots Of New Biometric Payment Card	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/AMK2vP2XZig/visa-begins-pilots-of-new-biometric-payment-card-20180114-00015,2018-01-14	2018-01-14 11:31:00	V	Visa Inc.	Visa Begins Pilots Of New Biometric Payment Card	Visa Begins Pilots Of New Biometric Payment Card	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/AMK2vP2XZig/visa-begins-pilots-of-new-biometric-payment-card-20180114-00015
2018-01-15,2018-01-15	2018-01-15 13:05:13	V	Visa Inc.	See what the IHS Markit Score report has to say about Visa Inc.	Short interest is moderate for V with between 5 and 10% of shares outstanding currently on loan.  The last change in the short interest score occurred more than 1 month ago and implies that there has been little change in sentiment among investors who seek to profit from falling equity prices.	https://finance.yahoo.com/news/see-ihs-markit-score-report-130513707.html?.tsrc=rss,2018-01-15	2018-01-15 13:05:13	V	Visa Inc.	See what the IHS Markit Score report has to say about Visa Inc.	Short interest is moderate for V with between 5 and 10% of shares outstanding currently on loan.  The last change in the short interest score occurred more than 1 month ago and implies that there has been little change in sentiment among investors who seek to profit from falling equity prices.	https://finance.yahoo.com/news/see-ihs-markit-score-report-130513707.html?.tsrc=rss
2018-01-15,2018-01-15	2018-01-15 15:09:59	V	Visa Inc.	Will 2018 Be American Express Company's Best Year Yet?	By many standards American Express NYSE AXP had a fine 2017 Profitability was strong and more often than not beat analyst expectations while other crucial metrics revenue loans outstanding and net income i e cardholder have all improved notably of late	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/25e77Tssqtg/will-2018-be-american-express-companys-best-year-yet-cm905304,2018-01-15	2018-01-15 15:09:59	V	Visa Inc.	Will 2018 Be American Express Company's Best Year Yet?	By many standards American Express NYSE AXP had a fine 2017 Profitability was strong and more often than not beat analyst expectations while other crucial metrics revenue loans outstanding and net income i e cardholder have all improved notably of late	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/25e77Tssqtg/will-2018-be-american-express-companys-best-year-yet-cm905304
2018-01-16,2018-01-16	2018-01-16 16:56:00	V	Visa Inc.	Visa CEO on 401(k) match: Wanted to do something sustaini...	CNBC's Jon Fortt reports on his conversation with Visa CEO Alfred Kelly about the company's 401(k) match increase in the wake of tax reform.	https://finance.yahoo.com/video/visa-ceo-401-k-match-165600934.html?.tsrc=rss,2018-01-16	2018-01-16 16:56:00	V	Visa Inc.	Visa CEO on 401(k) match: Wanted to do something sustaini...	CNBC's Jon Fortt reports on his conversation with Visa CEO Alfred Kelly about the company's 401(k) match increase in the wake of tax reform.	https://finance.yahoo.com/video/visa-ceo-401-k-match-165600934.html?.tsrc=rss
2018-01-17,2018-01-17	2018-01-17 15:09:00	V	Visa Inc.	Visa CEO on bitcoin: People want a fair exchange of value	Visa CEO Alfred Kelly speaks with CNBC’s Jon Fortt about bitcoin transactions.	https://finance.yahoo.com/video/visa-ceo-bitcoin-people-want-150900120.html?.tsrc=rss,2018-01-17	2018-01-17 15:09:00	V	Visa Inc.	Visa CEO on bitcoin: People want a fair exchange of value	Visa CEO Alfred Kelly speaks with CNBC’s Jon Fortt about bitcoin transactions.	https://finance.yahoo.com/video/visa-ceo-bitcoin-people-want-150900120.html?.tsrc=rss
2018-01-17,2018-01-17	2018-01-17 23:09:47	V	Visa Inc.	American Express Company Stock Is Nothing to Get Excited About	InvestorPlace Stock Market News Stock Advice amp Trading Tips American Express Company NYSE AXP made a bold recovery last year after watching its share price decline for two years straight The firm was dealt a harsh blow when Costco	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/VFPL7a-Yzes/american-express-company-stock-is-nothing-to-get-excited-about-cm906796,2018-01-17	2018-01-17 23:09:47	V	Visa Inc.	American Express Company Stock Is Nothing to Get Excited About	InvestorPlace Stock Market News Stock Advice amp Trading Tips American Express Company NYSE AXP made a bold recovery last year after watching its share price decline for two years straight The firm was dealt a harsh blow when Costco	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/VFPL7a-Yzes/american-express-company-stock-is-nothing-to-get-excited-about-cm906796
2018-01-18,2018-01-18	2018-01-18 13:21:00	V	Visa Inc.	3 Reasons We&apos;re Sick and Tired of Bitcoin	It&apos;s time we took bitcoin off of its pedestal and paid attention to other cryptocurrencies.	https://finance.yahoo.com/news/3-reasons-apos-sick-tired-132100483.html?.tsrc=rss,2018-01-18	2018-01-18 13:21:00	V	Visa Inc.	3 Reasons We&apos;re Sick and Tired of Bitcoin	It&apos;s time we took bitcoin off of its pedestal and paid attention to other cryptocurrencies.	https://finance.yahoo.com/news/3-reasons-apos-sick-tired-132100483.html?.tsrc=rss
2018-01-18,2018-01-18	2018-01-18 15:10:22	V	Visa Inc.	3 Reasons We're Sick and Tired of Bitcoin	The cryptocurrency market has been nothing short of unstoppable since 2017 began Despite a few bouts of volatility the aggregate value of every single cryptocurrency combined has exploded higher by nearly 4 000 over the last 12 1 2 months to nearly 750 billion The swiftness of	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/leN_bHc_oK8/3-reasons-were-sick-and-tired-of-bitcoin-cm906958,2018-01-18	2018-01-18 15:10:22	V	Visa Inc.	3 Reasons We're Sick and Tired of Bitcoin	The cryptocurrency market has been nothing short of unstoppable since 2017 began Despite a few bouts of volatility the aggregate value of every single cryptocurrency combined has exploded higher by nearly 4 000 over the last 12 1 2 months to nearly 750 billion The swiftness of	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/leN_bHc_oK8/3-reasons-were-sick-and-tired-of-bitcoin-cm906958
2018-01-18,2018-01-18	2018-01-18 17:08:04	V	Visa Inc.	Why 2017 was a Year to Remember for Visa Inc.	As I ve written recently 2018 has the potential to be the best year in Visa s NYSE V existence as a company This would be an accomplishment as last year was a smashing one for the card payment processor Let s take a short trip down a very pleasant memory lane to explore	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/TydaEGJNQUU/why-2017-was-a-year-to-remember-for-visa-inc-cm907127,2018-01-18	2018-01-18 17:08:04	V	Visa Inc.	Why 2017 was a Year to Remember for Visa Inc.	As I ve written recently 2018 has the potential to be the best year in Visa s NYSE V existence as a company This would be an accomplishment as last year was a smashing one for the card payment processor Let s take a short trip down a very pleasant memory lane to explore	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/TydaEGJNQUU/why-2017-was-a-year-to-remember-for-visa-inc-cm907127
2018-01-18,2018-01-18	2018-01-18 19:06:59	V	Visa Inc.	American Express Kicks Off Credit Card Earnings Reports	Credit card giant American Express AXP reports fourth quarter earnings after the closing bell today Here s what to expect Check back here for updates ibd display video id 3090550 width 50 float left autostart true Estimates Earnings per share are expected to leap	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/mN2FpdegbPM/american-express-kicks-off-credit-card-earnings-reports-cm907288,2018-01-18	2018-01-18 19:06:59	V	Visa Inc.	American Express Kicks Off Credit Card Earnings Reports	Credit card giant American Express AXP reports fourth quarter earnings after the closing bell today Here s what to expect Check back here for updates ibd display video id 3090550 width 50 float left autostart true Estimates Earnings per share are expected to leap	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/mN2FpdegbPM/american-express-kicks-off-credit-card-earnings-reports-cm907288
2018-01-18,2018-01-18	2018-01-18 20:02:50	V	Visa Inc.	Why Visa Inc Stock Is Charged Up Heading Into Earnings	InvestorPlace Stock Market News Stock Advice amp Trading Tips It might sound trite but Visa Inc 160 NYSE V really is everywhere you want to be in 2018 Visa stock had a banner year in 2017 rising more than 47 But with rising interest rates and	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/LS8NcWvgS9Y/why-visa-inc-stock-is-charged-up-heading-into-earnings-cm907384,2018-01-18	2018-01-18 20:02:50	V	Visa Inc.	Why Visa Inc Stock Is Charged Up Heading Into Earnings	InvestorPlace Stock Market News Stock Advice amp Trading Tips It might sound trite but Visa Inc 160 NYSE V really is everywhere you want to be in 2018 Visa stock had a banner year in 2017 rising more than 47 But with rising interest rates and	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/LS8NcWvgS9Y/why-visa-inc-stock-is-charged-up-heading-into-earnings-cm907384
2018-01-19,2018-01-19	2018-01-19 23:59:15	V	Visa Inc.	Improving Economy to Support Business Services Stocks	Stocks in the Business Services sector have been strong performers of late reflecting the group s favorable fundamentals which we have listed below This should give readers a good sense of the factors expected to help these stocks over the near to medium term Labor Intensive The	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/En2gr60p1IA/improving-economy-to-support-business-services-stocks-cm908023,2018-01-19	2018-01-19 23:59:15	V	Visa Inc.	Improving Economy to Support Business Services Stocks	Stocks in the Business Services sector have been strong performers of late reflecting the group s favorable fundamentals which we have listed below This should give readers a good sense of the factors expected to help these stocks over the near to medium term Labor Intensive The	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/En2gr60p1IA/improving-economy-to-support-business-services-stocks-cm908023
2018-01-19,2018-01-19	2018-01-19 21:01:03	V	Visa Inc.	American Express Company Stock — Don’t Leave Your Portfolio Without It	InvestorPlace Stock Market News Stock Advice amp Trading Tips American Express Company NYSE AXP finds itself in growth mode After losing its exclusivity relationship with Costco Wholesale Corporation NASDAQ COST in 2016 AmEx	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/8TLmbZEAcMo/american-express-company-stock-dont-leave-your-portfolio-without-it-cm907966,2018-01-19	2018-01-19 21:01:03	V	Visa Inc.	American Express Company Stock — Don’t Leave Your Portfolio Without It	InvestorPlace Stock Market News Stock Advice amp Trading Tips American Express Company NYSE AXP finds itself in growth mode After losing its exclusivity relationship with Costco Wholesale Corporation NASDAQ COST in 2016 AmEx	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/8TLmbZEAcMo/american-express-company-stock-dont-leave-your-portfolio-without-it-cm907966
2018-01-22,2018-01-22	2018-01-22 12:22:00	V	Visa Inc.	Better Stock: Visa Inc. (V) vs. Mastercard (MA)	Which of the two biggest card-network giants has the better prospects?	https://finance.yahoo.com/news/better-stock-visa-inc-v-122200911.html?.tsrc=rss,2018-01-22	2018-01-22 12:22:00	V	Visa Inc.	Better Stock: Visa Inc. (V) vs. Mastercard (MA)	Which of the two biggest card-network giants has the better prospects?	https://finance.yahoo.com/news/better-stock-visa-inc-v-122200911.html?.tsrc=rss
2018-01-22,2018-01-22	2018-01-22 14:55:00	V	Visa Inc.	Is Visa's Stock Chart Overdue?	Visa stock looks extended but that does not mean sell.	http://finance.yahoo.com/r/700c38e9-be7b-3ab4-9e13-394aae7682fa/visas-stock-chart-overdue?puc=yahoo&cm_ven=YAHOO&yptr=yahoo&.tsrc=rss,2018-01-22	2018-01-22 14:55:00	V	Visa Inc.	Is Visa's Stock Chart Overdue?	Visa stock looks extended but that does not mean sell.	http://finance.yahoo.com/r/700c38e9-be7b-3ab4-9e13-394aae7682fa/visas-stock-chart-overdue?puc=yahoo&cm_ven=YAHOO&yptr=yahoo&.tsrc=rss
2018-01-26,2018-01-26	2018-01-26 15:38:02	V	Visa Inc.	Trump caps the strangest Davos week in markets by being somewhat normal	Yahoo Finance's Jared Blikre and Stephanie Sy break down the latest market action.	https://finance.yahoo.com/video/trump-caps-strangest-davos-week-153802735.html?.tsrc=rss,2018-01-26	2018-01-26 15:38:02	V	Visa Inc.	Trump caps the strangest Davos week in markets by being somewhat normal	Yahoo Finance's Jared Blikre and Stephanie Sy break down the latest market action.	https://finance.yahoo.com/video/trump-caps-strangest-davos-week-153802735.html?.tsrc=rss
2018-01-29,2018-01-29	2018-01-29 15:05:29	V	Visa Inc.	Mobile Payment & Alliances to Fuel PayPal (PAPL) Q4 Earnings	PayPal Holdings Inc PYPL is slated to release fourth quarter 2017 results on Jan 31 The question lingering in investors minds is whether this online payment solution provider will be able to post a positive earnings surprise in the to be reported quarter Notably over the trailing	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/LHCGN5OoL-o/mobile-payment-alliances-to-fuel-paypal-papl-q4-earnings-cm912158,2018-01-29	2018-01-29 15:05:29	V	Visa Inc.	Mobile Payment & Alliances to Fuel PayPal (PAPL) Q4 Earnings	PayPal Holdings Inc PYPL is slated to release fourth quarter 2017 results on Jan 31 The question lingering in investors minds is whether this online payment solution provider will be able to post a positive earnings surprise in the to be reported quarter Notably over the trailing	http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/LHCGN5OoL-o/mobile-payment-alliances-to-fuel-paypal-papl-q4-earnings-cm912158
